spot,time,occupied,occID
21,3:00 PM,Construction,50
21,4:00 PM,Construction,50
21,5:00 PM,Construction,50
21,6:00 PM,Construction,50
21,7:00 PM,Construction,50
21,8:00 PM,Construction,50
22,6:00 AM,9XB,50
22,7:00 AM,472,50
22,8:00 AM,472,50
22,9:00 AM,472,50
22,10:00 AM,472,50
22,11:00 AM,,1
22,12:00 PM,Construction,50
22,1:00 PM,Construction,50
22,2:00 PM,Construction,50
22,3:00 PM,Construction,50
22,4:00 PM,Construction,50
22,5:00 PM,Construction,50
22,6:00 PM,,1
22,7:00 PM,,1
22,8:00 PM,9XB,50
23,6:00 AM,,1
23,7:00 AM,,1
23,8:00 AM,,1
23,9:00 AM,576,50
23,10:00 AM,,1
23,11:00 AM,,1
23,12:00 PM,Construction,50
23,1:00 PM,Construction,50
23,2:00 PM,Construction,50
23,3:00 PM,Construction,50
23,4:00 PM,Construction,50
23,5:00 PM,Construction,50
23,6:00 PM,,1
23,7:00 PM,,1
23,8:00 PM,,1
24,6:00 AM,1JG,50
24,7:00 AM,1JG,50
24,8:00 AM,1JG,50
24,9:00 AM,,1
24,10:00 AM,,1
24,11:00 AM,,1
24,12:00 PM,Construction,50
24,1:00 PM,Construction,50
24,2:00 PM,Construction,50
24,3:00 PM,Construction,50
24,4:00 PM,Construction,50
24,5:00 PM,Construction,50
24,6:00 PM,,1
24,7:00 PM,,1
24,8:00 PM,,1
25,6:00 AM,,1
25,7:00 AM,,1
25,8:00 AM,,1
25,9:00 AM,Construction,50
25,10:00 AM,Construction,50
25,11:00 AM,Construction,50
25,12:00 PM,Construction,50
25,1:00 PM,Construction,50
25,2:00 PM,Construction,50
25,3:00 PM,Construction,50
25,4:00 PM,Construction,50
25,5:00 PM,Construction,50
25,6:00 PM,,1
25,7:00 PM,,1
25,8:00 PM,,1
26,6:00 AM,,1
26,7:00 AM,,1
26,8:00 AM,,1
26,9:00 AM,Construction,50
26,10:00 AM,Construction,50
26,11:00 AM,Construction,50
26,12:00 PM,Construction,50
26,1:00 PM,Construction,50
26,2:00 PM,Construction,50
26,3:00 PM,Construction,50
26,4:00 PM,Construction,50
26,5:00 PM,Construction,50
26,6:00 PM,,1
26,7:00 PM,,1
26,8:00 PM,,1
27,6:00 AM,,1
27,7:00 AM,,1
27,8:00 AM,,1
27,9:00 AM,Construction,50
27,10:00 AM,Construction,50
27,11:00 AM,Construction,50
27,12:00 PM,Construction,50
27,1:00 PM,Construction,50
27,2:00 PM,Construction,50
27,3:00 PM,Construction,50
27,4:00 PM,Construction,50
27,5:00 PM,Construction,50
27,6:00 PM,1HZ,50
27,7:00 PM,1LS,50
27,8:00 PM,1LS,50
28,6:00 AM,1MG,50
28,7:00 AM,,1
28,8:00 AM,,1
28,9:00 AM,,1
28,10:00 AM,,1
28,11:00 AM,,1
28,12:00 PM,Construction,50
28,1:00 PM,Construction,50
28,2:00 PM,Construction,50
28,3:00 PM,Construction,50
28,4:00 PM,Construction,50
28,5:00 PM,Construction,50
28,6:00 PM,1MG,50
28,7:00 PM,1MG,50
28,8:00 PM,1MG,50
29,6:00 AM,7WC,50
29,7:00 AM,,1
29,8:00 AM,,1
29,9:00 AM,1HZ,50
29,10:00 AM,1HZ,50
29,11:00 AM,,1
29,12:00 PM,Construction,50
29,1:00 PM,Construction,50
29,2:00 PM,Construction,50
29,3:00 PM,Construction,50
29,4:00 PM,Construction,50
29,5:00 PM,Construction,50
29,6:00 PM,,1
29,7:00 PM,,1
29,8:00 PM,,1
30,6:00 AM,,1
30,7:00 AM,20M,50
30,8:00 AM,20M,50
30,9:00 AM,20M,50
30,10:00 AM,20M,50
30,11:00 AM,20M,50
30,12:00 PM,20M,50
30,1:00 PM,20M,50
30,2:00 PM,,1
30,3:00 PM,7WJ,50
30,4:00 PM,7WG,50
30,5:00 PM,,1
30,6:00 PM,749,50
30,7:00 PM,7WJ,50
30,8:00 PM,,1
31,6:00 AM,1GA,50
31,7:00 AM,1GA,50
31,8:00 AM,1GA,50
31,9:00 AM,1GA,50
31,10:00 AM,1GA,50
31,11:00 AM,1GA,50
31,12:00 PM,1GA,50
31,1:00 PM,1GA,50
31,2:00 PM,1GA,50
31,3:00 PM,1GA,50
31,4:00 PM,1GA,50
31,5:00 PM,1GA,50
31,6:00 PM,1GA,50
31,7:00 PM,1GA,50
31,8:00 PM,1GA,50
32,6:00 AM,1RC,50
32,7:00 AM,1RC,50
32,8:00 AM,1RC,50
32,9:00 AM,,1
32,10:00 AM,1MH,50
32,11:00 AM,1MH,50
32,12:00 PM,1MH,50
32,1:00 PM,1MH,50
32,2:00 PM,1MH,50
32,3:00 PM,1MH,50
32,4:00 PM,1MH,50
32,5:00 PM,1MH,50
32,6:00 PM,,1
32,7:00 PM,1DG,50
32,8:00 PM,1DG,50
33,6:00 AM,Blocked,50
33,7:00 AM,Blocked,50
33,8:00 AM,Blocked,50
33,9:00 AM,Blocked,50
33,10:00 AM,Blocked,50
33,11:00 AM,Blocked,50
33,12:00 PM,Blocked,50
33,1:00 PM,Blocked,50
33,2:00 PM,Blocked,50
33,3:00 PM,Blocked,50
33,4:00 PM,Blocked,50
33,5:00 PM,Blocked,50
33,6:00 PM,,1
33,7:00 PM,,1
33,8:00 PM,,1
34,6:00 AM,8RJ,50
34,7:00 AM,8RJ,50
34,8:00 AM,8RJ,50
34,9:00 AM,8RJ,50
34,10:00 AM,367,50
34,11:00 AM,367,50
34,12:00 PM,367,50
34,1:00 PM,367,50
34,2:00 PM,367,50
34,3:00 PM,5HT,50
34,4:00 PM,,1
34,5:00 PM,,1
34,6:00 PM,,1
34,7:00 PM,Blocked,50
34,8:00 PM,,1
35,6:00 AM,,1
35,7:00 AM,,1
35,8:00 AM,,1
35,9:00 AM,,1
35,10:00 AM,H93,50
35,11:00 AM,IHL,50
35,12:00 PM,Blocked,50
35,1:00 PM,Blocked,50
35,2:00 PM,Blocked,50
35,3:00 PM,Blocked,50
35,4:00 PM,,1
35,5:00 PM,,1
35,6:00 PM,,1
35,7:00 PM,8TX,50
35,8:00 PM,8TX,50
36,6:00 AM,5EC,50
36,7:00 AM,5EC,50
36,8:00 AM,5EC,50
36,9:00 AM,,1
36,10:00 AM,Blocked,50
36,11:00 AM,Blocked,50
36,12:00 PM,7WJ,50
36,1:00 PM,7WJ,50
36,2:00 PM,547,50
36,3:00 PM,547,50
36,4:00 PM,547,50
36,5:00 PM,,1
36,6:00 PM,CLR,50
36,7:00 PM,CLR,50
36,8:00 PM,CLR,50
37,6:00 AM,6BX,50
37,7:00 AM,6BX,50
37,8:00 AM,6BX,50
37,9:00 AM,6BX,50
37,10:00 AM,6BX,50
37,11:00 AM,6BX,50
37,12:00 PM,6BX,50
37,1:00 PM,6BX,50
37,2:00 PM,6BX,50
37,3:00 PM,6BX,50
37,4:00 PM,6BX,50
37,5:00 PM,6BX,50
37,6:00 PM,6BX,50
37,7:00 PM,6BX,50
37,8:00 PM,,1
38,6:00 AM,SN3,50
38,7:00 AM,SN3,50
38,8:00 AM,SN3,50
38,9:00 AM,SN3,50
