Group Member,Route Number,Side of Street,Relative Spot Number,Absolute Spot Number,Regulation,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,Street Name,Street Direction,Start Bound Street,End Bound Street
Lal,,Right,1,113,Resident Only,9FX,9FX,9FX,9FX,9FX,9FX,4GH,4GH,,,729,729,729,729,729,,,,
Lal,,Right,2,114,Resident Only,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,,,,
Lal,,Right,1,115,Resident Only,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,,,,
Lal,,Right,2,116,Resident Only,9RX,,473,473,473,1RL,1RL,JT2,JT2,JT2,JT2,JT2,9NX,9NX,9NX,,,,
Lal,,Right,3,117,Resident Only,9GP,9GP,9GP,9GP,1NRV,1NRV,1NRV,1NRV,1NRV,1NRV,,HJM,HJM,1SS,1SS,,,,
Lal,,Right,1,118,Resident Only,27E,27E,1JD,1JD,1JD,,,,6BW,6BW,6BW,6BW,6BW,6BW,6BW,,,,
Lal,,Right,2,119,Resident Only,8PF,8PF,8PF,8PF,8PF,892,892,447,447,9GP,9GP,9GP,9GP,9GP,9GP,,,,
Lal,,Right,3,120,Resident Only,2GG,2GG,2GG,2GG,GGF,GGF,1AG,22F,22F,22F,22F,,1RA,1RA,1RA,,,,
Lal,,Right,1,121,Resident Only,2PB,2PB,,8G9,S71,S71,S71,,3SC,3SC,3SC,,IC4,IC4,IC4,,,,
Lal,,Right,2,122,Resident Only,Blocked,Blocked,,Blocked,Blocked,Blocked,Blocked,,Blocked,Blocked,Blocked,,,Blocked,Blocked,,,,
Lal,,Right,3,123,Resident Only,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,,,,
Lal,,Right,4,124,Resident Only,1DH,1DH,1DH,1DH,1DH,1DH,1DH,1DH,1DH,1DH,1DH,1DH,1DH,1DH,9HW,,,,
Lal,,Right,1,125,Resident Only,841,,,,,302,,9HH,9HH,9HH,9HH,858,858,,55S,,,,
Lal,,Right,2,126,Resident Only,5VN,5VN,,,7LG,22P,5HT,5HT,5HJ,,Blocked,Blocked,5KF,5KF,5KF,,,,
Lal,,Right,3,127,Resident Only,Blocked ,Blocked ,566,566,566,P67,P67,P67,P67,P67,586,586,94X,94X,94X,,,,
Lal,,Right,4,128,Resident Only,236,236,236,,2SS,Blocked,Blocked,Blocked,Blocked,Blocked,,7W5,,Blocked,Blocked,,,,
Lal,,Right,1,129,Resident Only,155,155,155,,8RS,8RS,8RS,8RS,8RS,8RS,8RS,8RS,8RS,8RS,8RS,,,,
Lal,,Right,2,130,Resident Only,237,237,237,237,237,237,237,237,237,237,237,460,460,460,6LR,,,,
Lal,,Right,3,131,Resident Only,9YX,9YX,6LT,,22F,22F,4FM,4FM,,1RC,1RC,1RC,1RC,1RC,1RC,,,,
Lal,,Right,1,132,Resident Only,867,867,867,867,867,867,867,867,867,867,867,867,867,1RH,1RH,,,,
Lal,,Right,2,133,Resident Only,58X,58X,8EE,8EE,8EE,206,206,206,206,,1BA,1BA,1BA,1BA,1BA,,,,
Lal,,Right,3,134,Resident Only,96K,96K,96K,,6VK,6VK,6VK,,9MB,9MB,,5VN,5VN,5VN,5VN,,,,
Lal,,Right,1,135,Resident Only,Blocked,Blocked,Blocked,Blocked,163,163,163,163,163,163,163,163,163,163,470,,,,
Lal,,Right,2,136,Resident Only,KP7,KP7,KP7,KP7,5TG,5TG,5TG,5TG,5TG,5TG,5TG,5TG,5TG,5TG,7MV,,,,
Lal,,Right,3,137,Resident Only,9BK,9BK,9BK,9BK,9BK,9BK,9BK,,96K,96K,96K,96K,96K,96K,96K,,,,
Lal,,Right,1,138,Resident Only,6HC,6HC,6HC,6HC,6HC,6HC,6HC,6HC,6HC,6HC,6HC,6HC,6HC,6HC,6HC,,,,
Lal,,Right,2,139,Resident Only,1BC,1BC,1BC,1BC,8BA,8BA,8BA,,8FC,8FC,8FC,8FC,8FC,8FC,8FC,,,,
Lal,,Right,3,140,Resident Only,1SR,1SR,1SR,1SR,1SR,1SR,1SR,1SR,1SR,1SR,1SR,1SR,1SR,1SR,1SR,,,,
Lal,,Right,4,141,Resident Only,729,729,21K,21K,21K,21K,21K,21K,21K,21K,21K,,236,236,236,,,,
Lal,,Right,1,142,Resident Only,EV2,EV2,,7PG,7PG,7PG,7PG,7PG,7PG,7PG,9AC,P32,P32,P32,P32,,,,
Lal,,Right,2,143,Resident Only,4KX,9GA,9GA,9GA,9GA,9GA,9GA,9GA,9GA,9GA,9GA,,V41,V41,V41,,,,
Lal,,Right,3,144,Resident Only,8EK,6KA,6KA,,6NF,6NF,6NF,6NF,6NF,6NF,6NF,,2VT,2VT,2VT,,,,
Lal,,Right,4,145,Resident Only,7BF,7BF,7BF,7BF,7BF,7BF,7BF,7BF,7BF,7BF,7BF,7BF,7BF,7BF,7BF,,,,
Lal,,Right,5,146,Resident Only,2LW,6CH,6CH,6CH,6CH,6CH,6CH,6CH,6CH,6CH,6CH,3WY,8WJ,8WJ,,,,,
Lal,,Right,6,147,Resident Only,2PJ,2PJ,2PJ,2PJ,2PJ,2PJ,892,892,892,892,892,892,892,892,892,,,,
Lal,,Right,7,148,Resident Only,,,,,,,,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,,,,
Lal,,Right,HC 1,149,Handicapped,6WW,6WW,6WW,6WW,6WW,,,811,,,,,193,193,,,,,
Lal,,Right,HC 2,150,Handicapped,7ZV,7ZV,7ZV,,,9HW,9HW,9HW,9HW,9HW,,,,,613,,,,
Lal,,Right,1,151,Resident Only,6XD,6XD,6XD,6XD,6XD,6XD,6XD,6XD,6XD,6XD,6XD,6XD,,Blocked,,,,,
Lal,,,1,152,Resident Only,547,,,,,,,,,,,,,,,,,,
Lal,,,2,153,Resident Only,5CP,,,,,,,,,,,,,,,,,,
Lal,,,3,154,Resident Only,5KA,,,,,,,,,,,,,,,,,,
Lal,,,4,155,Resident Only,1HZ,1HZ,,,,,,,,,,,,,,,,,
Lal,,,5,156,Resident Only,,,,,,,,,,,,,5KA,9HM,9HM,,,,
Lal,,,6,157,Resident Only,,,,,,,,,,,,,547,547,547,,,,
Lal,,,7,158,Resident Only,,,,,,,,,,,,,,3MD,3MD,,,,
Lal,,,8,159,Resident Only,27D,,,,,,,,,,,,,,,,,,
Lal,,,9,160,Resident Only,916,,,,,,,,,,,,,916,916,,,,
Lal,,,1,161,Resident Only,,,,,,,,,,,,,,,,,,,
Lal,,,2,162,Resident Only,,,,,,,,,,,,,,,,,,,
Lal,,,3,163,Resident Only,,,,,,,,,,,,,,,,,,,
Lal,,,4,164,Resident Only,,,,,,,,,,,,,,,,,,,
Lal,,,5,165,Resident Only,,,,,,,,,,,,,,,,,,,
Lal,,,6,166,Resident Only,3JF,3JF,,,,,,,,,,,,1NR,1NR,,,,
Lal,,,7,167,Resident Only,7DK,7DK,,,,,,,,,,,5TM,5TM,5TM,,,,
Lal,,,8,168,Resident Only,5TM,,,,,,,,,,,,6VI,6VI,6VI,,,,
Lal,,,1,169,Resident Only,22A,22A,22A,22A,22A,22A,22A,22A,22A,22A,22A,22A,22A,22A,22A,,,,
Lal,,,2,170,Resident Only,5HT,5HT,J15,,,,,,,9DP,9DP,9DP,9DP,9DP,9DP,,,,
Lal,,,3,171,Resident Only,,,Blocked,431,431,431,,,,,5HT,5HT,5HT,5HT,5HT,,,,
Lal,,,4,172,Resident Only,122,122,759,759,759,,7NB,,,,,,,7VL,7VL,,,,
Lal,,,5,173,Resident Only,1GC,1GC,1GC,1GC,1GC,1GC,1GC,1GC,1GC,1GC,1GC,1GC,1GC,1GC,1GC,,,,
Lal,,,6,174,Resident Only,8PR,8PR,8PR,8PR,8PR,8PR,8PR,8PR,8PR,8PR,8PR,8PR,8PR,8PR,8PR,,,,
Lal,,,7,175,Resident Only,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,,,,
Lal,,,8,176,Resident Only,1AG,1AG,1AG,1AG,1AG,1AG,1AG,1AG,1AG,1AG,1AG,1AG,1AG,1AG,1AG,,,,
